,FullRawTextPCM,FullRawText,Arg1_RawText,Arg2_RawText,arg1_rawTextPCM_alignment,arg2_raw_textPCM_alignment,connective_rawTextPCM_alignment
3423,"If you sabi slide, no wahala.
","If you know how to slide, it's no problem",it's no problem,you know how to slide,wahala. no wahala.,"you sabi sabi slide,",If
3509,"Third, oil price never fall o, although supply don dey increase
","Third, oil prices haven't declined although supply has been increasing","Third, oil prices haven't declined",supply has been increasing,"Third, oil price never o, don fall",supply dey dey increase,although
3585,"Sey even if you no like height, you fit still dey blow your own.
","that even if you hate heights, you can still balloon",that you can still balloon,you hate heights,Text Not Found,"you no like height, own.",even if
3586,"Sey even if you no like height, you fit still dey blow your own.
","that even if you hate heights, you can still balloon",even if you hate heights,that you can balloon,"even if you no like height, own.",Text Not Found,still
3587,": no look down, at least when you are ascending.
",don't look down. At least not when you are ascending,don't look down,you are ascending,": no look down, ascending.",you are ascending.,"at least down, when"
3601,"No wonder we dey come down straight enter deir canal.
",No wonder. We were coming down straight into their canal,No wonder,We were coming down straight into their canal,No wonder canal.,we dey come down straight enter deir canal.,
3603,"Sey you no fit drive, and your pilot no fit drive.
",that you can't steer. And neither can your pilot,that you can't steer,neither can your pilot,"Sey you no fit drive, drive, drive.",no fit your pilot,and
3620,"I look dey look as I dey look and I si sey na half of an hour.
",I looked at my watch. Barely half-an-hour aloft,I looked at my watch,Barely half-an-hour aloft,I look look I look hour.,I na sey half of an hour. and sey,
3635,"to appear after dem sama am testimony
",to appear after the Treasury official had completed his testimony,to appear,the Treasury official had completed his testimony,to appear,dem sama am testimony,after
3669,"So what if you miss 50 thank you somewhere?
",So what if you miss 50 tanks somewhere,So what,you miss 50 tanks somewhere,So what,you miss 50 thank somewhere?,if
3771,"But e no dey possible, e dey also unnecessary.
",but it's unlikely. It's also unnecessary,but it's unlikely,It's unnecessary,"But e dey possible, unnecessary.",Text Not Found,also
3793,"dey alert am when Sventek come
",to alert him when Sventek came on the line,to alert him,Sventek came on the line,dey alert am,Sventek come dey,when
3862,"APOSTLE PAUL talk sey e be like sey e never do double chop since when we start for 1971
",it supposedly hasn't repeated a meal since opening in 1971,it supposedly hasn't repeated a meal,opening in 1971,talk PAUL e APOSTLE never when we do double chop,start for 1971,since
3885,": Dem go pay you better money if you complete your asset
",to be paid when Healthcare successfully completes asset sales,to be paid,Healthcare successfully completes asset sales,: go pay,you you better complete your asset money,if
3940,"Nobody tell us, nobody call us.
",Nobody told us; nobody called us,Nobody told us,nobody called us,"Nobody tell us,",nobody call us.,
3988,"Dealers need to repair am before dem fit sell am
",the dealer had to repair before it could be resold,the dealer had to repair,it could be resold,am Dealers need to repair,dem fit sell am,before
4077,"government go support dem if dem need am
",that the government would support them if necessary,that the government would support them,necessary,go dem government need support dem,am,if
4113,"Dat once most of dem dey adopt am, e dey last forever.
","that once most poison pills are adopted, they survive forever",that they survive forever,most poison pills are adopted,Text Not Found,"most dey forever. dem dey dey adopt am,",once
4219,": If you drink pass, you go dey drink pass.
","if you drink more, you get more",you get more,you drink more,you go pass.,"you drink pass,",If
4244,"Person wey dey buy something na gift
",offering a gift when consumers make a purchase,offering a gift,consumers make a purchase,Person na gift,dey dey something buy,wey
4419,"Dem no sack dem, but instead, dem neglected to do am.
","They weren't fired but instead ""were neglected",They weren't fired,but were neglected,"Dem no sack dem, to sack",Text Not Found,"instead,"
4464,"When I see Lexus sales stand, I start to dey worry
","When I saw the Lexus sales projections, I got worried",I got worried,I saw the Lexus sales projections,I start dey worry,"I see to Lexus sales stand, dey",When
4570,"and e no go move until authorities carry dem go.
",and will not move until the authorities carry them away,and will not move,the authorities carry them away,and e no move,go. authorities carry dem go.,until
4594,"dey hide until e don distroy
",and hiding until it is over,and hiding,it is over,e dey hide,don distroy distroy,until
4640,"APOSTLE HOBBY, but e no fit milk am
","HE RODE HIS HOBBY, but he couldn't milk it",HE RODE HIS HOBBY,he couldn't milk it,"APOSTLE APOSTLE APOSTLE HOBBY,",e no fit milk am,but
4646,"and drop the line when im best broda die
",and dropped the sideline when his best brood mare died,and dropped the sideline,his best brood mare died,and drop the line,im best broda die,when
4673,"Now after you beat dem now, Oga Achenbaum dey join dem.
","Now, after beating them, Mr. Achenbaum is joining them",Now Mr. Achenbaum is joining them,beating them,Text Not Found,"beat dem now,",after
4690,": E dey do big boy for dem, e dey invite dem for big party
",He pampers them; he invites them to fabulous parties,He pampers them,he invites them to fabulous parties,"E dey do for dem,",e dey invite dem for big boy big party,
4744,"Governing Body fit dey do anything wey dem like but dem no dey too put hand for politics matter
",to liberalize economically and yet retain political control,to liberalize economically,and retain political control,Body Governing fit Governing dey,Text Not Found,dem
4754,"And if European de enter, de go gain.
","And if the Europeans come in, they benefit too",And they benefit too,the Europeans come in,Text Not Found,"European de go enter,",if
4757,"Asian block no be intended, e say dat one no possible.
","An Asian bloc isn't intended, he said. ""That's not possible",An Asian bloc isn't intended,That's not possible,"e Asian block no be intended,",dat one no possible.,
4767,"Sey de wan dispose of and yet de need
",that they want to dispose of and yet they need,that they want to dispose of,yet they need,Sey de wan wan dispose of,yet de need,and
4768,"Sey de wan dispose of and yet de need
",that they want to dispose of and yet they need,that they want to dispose of and,they need,Sey de wan wan dispose of and,de need,yet
4772,"De oga dem for my side, de do better ting for me.
",They lorded it over me. They did me some good,They lorded it over me,They did me some good,De oga dem for my me.,de do me. better ting,
4815,"Patient no dey do im work at all
","when a patient is unconscious, they don't work at all",they don't work at all,a patient is unconscious,im work at all,Patient no dey do,Patient
4824,"Sey if dem do emergency surgery, e go help dem make partial recovery
","that, if preserved by emergency surgery, enable partial recovery",that enable partial recovery,preserved by emergency surgery,Text Not Found,"dem do emergency surgery,",if
4925,"dey pay anyhow wey people dey pay
",whose value rises when interest rates decline,whose value rises,interest rates decline,dey pay anyhow,wey people pay,anyhow
4927,"If dem break 135, some people go quick panic
","If 135 is broken, some panic will be seen",some panic will be seen,135 is broken,some panic people go quick,"135, dem break 135,",If
4941,"Government go lose after tax go comot
",the government will lose after the tax disappears,the government will lose,the tax disappears,Government go lose,tax go comot,after
4991,"If to sey we get am, e for make fear catch us
","If we had, it might have scared us off",it might have scared us off,we had,"to for make sey fear catch us am,","we get am,",If
5407,"One person dey make while e dey head for door
",one makes while heading for the door,one makes,heading for the door,One make,head for dey door,while
5500,"Immediately buy im stock as e take dey sell Monday
",to buy its stock as soon as trading opened Monday,to buy its stock,trading opened Monday,Immediately buy im stock,e sell Monday,as Immediately Immediately
5644,"We get one big problem and that problem na Volta.
","We have a major problem, and that problem is volatility",We have a major problem,that problem is volatility,We get one big problem Volta.,that problem na Volta.,and
5674,"Bond price fall after dem release the Chicago report
",Bond prices fell after the Chicago report was released,Bond prices fell,the Chicago report was released,Bond price fall,the Chicago report dem release,after
5707,"We be the people wey dey sell us, and today we don bounce back
",We were oversold and today we bounced back,We were oversold,today we bounced back,We be the dey sell,today we don bounce back,and
5759,"Gold dey always come out for high price
","After all, gold prices usually soar when inflation is high","After all, gold prices usually soar",inflation is high,dey Gold dey always come out,price high,for
5811,"Sey e dey always rise when di dollar dey weak
",that it usually rises when the dollar is weak,that it usually rises,the dollar is weak,e dey always rise,di dollar dey weak,when
5907,": Na my challenge be dat o, na Mike own too o.
",That's my challenge. It's Mike's challenge as well,That's my challenge,It's Mike's challenge as well,"Na be dat my challenge o,",": na o, Mike own o. too o.",too o.
5912,"I learn for Citicorp
",learned while working for Citicorp,learned,working for Citicorp,learn,for Citicorp,I
5959,"When you dey air, you go actually get di money.
","When you're on the air, you'll {actually} get the money",you'll {actually} get the money,you're on the air,you go money. actually get di money.,"you dey dey air,",When
6149,"Brothers wey dey do this work fear well well, but many of dem survive
","It scared brokers, but most survived",It scared brokers,most survived,"this fear well well, Brothers work well,",many survive,but
6210,"wetin people dey talk and wetin dem dey do
",between what people say and what they do,between what people say,what they do,wetin wetin people talk,wetin dem do,and
6231,"After I waka reach five hours, I just wipe my body finish.
",I'm really wiped out after walking five hours,I'm really wiped out,walking five hours,"I hours, I just wipe body","reach five hours,",After
6233,": If you sit down all di time, you go stiff.
","If you sit down all the time, you'll go stiff",you'll go stiff,you sit down all the time,: you stiff. go stiff.,"you sit down all di time,",If
6241,"Dem too plenty, and everybody dey form.
","They're too crowded, and everybody's showing off",They're too crowded,everybody's showing off,"Dem too plenty,",everybody dey form. form.,and
6261,"Sey when I dey drink, I go con better.
","that ""when I'm drinking, I bowl better",that I bowl better,I'm drinking,Text Not Found,"I dey drink,",Sey when
6270,": If e get someting wey be sey e dey weird, e no fine.
",If there's something' weird and it don't look good,If there's something' weird,it don't look good,"If e get wey someting weird,",dey wey dey no be fine.,e
6276,": If person wey be psychic no work o, but your house still dey shake
","If psychics don't work, but your house still seems haunted",If psychics don't work,your house still seems haunted,"If psychic wey be work o,",your house still dey shake,but
6281,": take big pizza now, den go sleep for your bed.
","eat a big pizza, and then go to bed",eat a big pizza,and go to bed,"take your big pizza now,",Text Not Found,den
6304,"to si who dey der and nobody dey der.
","to see who was there, and it was nobody",to see who was there,it was nobody,to si who dey der der.,der. dey nobody,and
6312,": to return if the thing wey dey worry you continue
",to return if the haunting continues,to return,the haunting continues,to return,the thing worry continue,if
6316,"Remaining, and most of the time, e dey work.
","It's reassuring, and it usually works",It's reassuring,it usually works,"time, dey work. Remaining,",the most work.,and
6337,"The woman just start to waka, e just start to ring.
",Suddenly the woman begins swaying and then writhing,Suddenly the woman begins swaying,and writhing,"just waka, ring. The woman start to waka, to",Text Not Found,just
6347,"APOSTLE PAUL dey hot like fire wey dey burn for market, but people wey dey die dey plenty pass am
",BROKERAGE HIRING languishes amid market turmoil. But survivors earn more,BROKERAGE HIRING languishes amid market turmoil,survivors earn more,"APOSTLE PAUL PAUL wey dey hot like for market, fire burn market,",people pass plenty,but
6445,"Dey help us, and dem while we dey here.
","It helps us, and them, while they're here","It helps us, and them",they're here,"Dey help us, and dem here.",we dey here.,while
6552,": Resurrect such law if e get wetin dem sey make person do before e die
","resurrection of such laws, if they meet certain procedural requirements",resurrection of such laws,they meet certain procedural requirements,Resurrect Resurrect such : law,e get sey wetin make person die,if
6606,"Dem shake di wall rish groun, dem build am with rock
",The walls shook; the building rocked,The walls shook,the building rocked,"Dem wall shake groun,",with build rish rock,
6609,"I kon sey, “Oga God, I dey fear well-well naw!”
","I said, `NOW?' I was shaking the whole time","I said, `NOW",I was shaking the whole time,"I sey, “Oga God, naw!”","I kon sey, dey fear naw!” well-well well-well",
6611,"Light flicker up-and-down; plaster wey fall from ceiling
",Lights flickered on and off; plaster dropped from the ceiling,Lights flickered on and off,plaster dropped from the ceiling,Light flicker up-and-down; up-and-down; up-and-down;,plaster fall from up-and-down; ceiling,
6632,"Benefit if patient relations become partnership
","to benefit if patient-physician relations become a ""partnership",to benefit,"patient-physician relations become a ""partnership",Benefit Benefit,Benefit patient relations become partnership,if
6643,": buy am when e buy American Motor Corp for 1987
",it acquired when it bought American Motors Corp. in 1987,it acquired,it bought American Motors Corp. in 1987,: buy,e buy American Motor am Corp for 1987,when
6744,"When dem first start to dey direct the work wey the brothers dey do, e no hard dem to do am.
",The controls on cooperatives appeared relatively liberal when first introduced,The controls on cooperatives appeared relatively liberal,first introduced,the work to direct the brothers start no hard,first am.,When
6772,"Person wey dey do wetin show sey e get money go fit buy am or e go fit buy am back
",that a cooperative be closed or its prices be reduced,that a cooperative be closed,its prices be reduced,e wey Person wetin go show,am money get back,or
6894,"Some machine wey dey use one machine wey dem dey call spina bifida, dey use one machine wey dem dey call spina bifida.
",Some machines make charts for presentations. Others analyze the data,Some machines make charts for presentations,Others analyze the data,Some machine use one call spina spina bifida.,"bifida, dey use bifida. one machine",
7394,"Which one fit cause problem?
","which, if impaired, turns healthy colon cells cancerous",which turns healthy colon cells cancerous,impaired,Text Not Found,Which,if
7434,"This one fit cause big wahala, but no be small wahala e dey cause.
","that, if damaged, flipped a colon cell into full-blown malignancy",that flipped a colon cell into full-blown malignancy,damaged,Text Not Found,e cause.,but
7562,"27 people wey dey lawyer don comot and 21 people don go
",27 lawyers have left and 21 have been hired,27 lawyers have left,21 have been hired,27 people lawyer don comot,21 people don go,and
7798,"If dem katch dem, dem fit kill dem
","If convicted, they could be sentenced to death",they could be sentenced to death,convicted,"dem fit katch kill dem, dem","katch dem,",If
7825,"Dis one surprise oga dem because e be like sey dem solicited am
",which surprised analysts because it appeared to be unsolicited,which surprised analysts,it appeared to be unsolicited,Dis one surprise oga dem,dem sey e be like solicited,because
7893,"But people wey dey do research come dey surprise sey dem no gree give the tender offer.
","Analysts, however, were surprised because the tender offer appeared unsolicited","Analysts, however, were surprised",the tender offer appeared unsolicited,people wey do research But dey come wey surprise,the tender offer. give no gree offer.,dem
7917,": to fit win if dem call you for news
",to be able to win if called on,to be able to win,called on,: fit you to win,call news,if
7927,"Na im be the person before Mr. Corr sign for im side.
",that was his before Mr. Corr signed on,that was his,Mr. Corr signed on,Na be person,Mr. Corr sign side.,before
7936,"Before that time, na executive for one manufacturing company e be
","Before that, he was an executive with a manufacturing concern",he was an executive with a manufacturing concern,that,"time, be na executive for one manufacturing company","that time,",Before
8063,"Nashua announce the Reiss request after the market close
",Nashua announced the Reiss request after the market closed,Nashua announced the Reiss request,the market closed,Nashua announce the Reiss request,the market close,after
8175,"Person wey dey buy something before e buy am
",an investor must put up when buying a security,an investor must put up,buying a security,e Person dey dey wey wey,buy buy something am,before
8185,"Put dem together, and you get programme on top rape.
","Put these together, and you get programs about rape",Put these together,you get programs about rape,"Put dem together,",you get programme top rape.,and
8220,"To dey tear im rib as e dey try to break
",of drooling on her while trying to break her ribs,of drooling on her,trying to break her ribs,To dey tear as dey,try to break im rib,dey
8305,"Broadcasting na one way wey we take dey do things wey we dey sell
","by broadening its merchandise assortment while keeping its ""traditional emphasis",by broadening its merchandise assortment,"keeping its ""traditional emphasis",Broadcasting one way we wey dey dey take do wey,dey dey na sell things,we
8405,"Bible talk sey : ‘ When dem kill one person, dem no go remember am again.
",as showing no remorse when a member is killed,as showing no remorse,a member is killed,Bible : no sey remember again.,"one person, person, kill",When
8697,"Even if dat one happen, Westinghaus still dey prepare am.
","Even if that scenario occurs, Westinghouse figures it is prepared",it is prepared,that scenario occurs,am. dey prepare,"dat one happen,",Even if
8711,"People for this world dey treat each other well, but dem no dey treat each other well.
","That's geologically correct, but a trifle unfair otherwise",That's geologically correct,but a trifle unfair,"this world dey People for dey well,",but dem treat dey treat well.,well.
8721,"If to say na im e for hit am
","If it had been, he mighta hit it out",he mighta hit it out,it had been,e for hit im am,to say na,If
8759,": Haste dey make waste and  No Cut Corner
",Haste makes waste' and `Don't cut corners,Haste makes waste,Don't cut corners,Haste make waste,: dey No Cut dey Corner,and
8875,"Unisys is getting clobered. Just clobered!
",Unisys is getting clobbered. Just clobbered,Unisys is getting clobbered,Just clobbered,Unisys is getting clobered.,Just clobered!,
8940,"Trying to pin down di person wey dey do economist, im no too succeed.
",trying to pin down the economist. He doesn't fully succeed,trying to pin down the economist,He doesn't fully succeed,"Trying to pin down do economist, succeed.","im Trying economist, no too succeed.",
8960,"You dey plan wetin you go do, den you become im prisoner
","You make a forecast, and then you become its prisoner",You make a forecast,then you become its prisoner,"You go dey dey plan wetin do,",wetin you become im prisoner,den
8961,"You dey plan wetin you go do, den you become im prisoner
","You make a forecast, and then you become its prisoner",You make a forecast,and you become its prisoner,"You go dey dey plan wetin do,",Text Not Found,wetin
9025,"For August, my personal income climb by 0.3% and e grow by 0.9%
","In August, personal income rose 0.3% and spending grew 0.9%","In August, personal income rose 0.3%",spending grew 0.9%,"For August, personal income climb 0.3%",e by 0.9%,and
9086,"Flower when you dey carry people
",flown while carrying people,flown,carrying people,Flower dey,carry people,when
9104,": “ Make una no chop dog meat just because e dey do wetin go vex stranger
",to curb dog-meat consumption just because it offends foreigners,to curb dog-meat consumption,it offends foreigners,Make chop no dog meat go,e vex stranger,just because
9144,"Just lie, and tell dem sey e go happen.
",just lie and tell them it will be done,just lie,tell them it will be done,"Just lie,",tell dem e sey go happen.,and
