filename,set,reltype,connspan,conn_raw,conn_uttid,x2,x3,conn1,conn2,rs1,rs2,x5,x6,x7,arg1raw,arg1span,arg1_uttid,x9,x10,x11,arg2raw,arg2span,arg2_uttid,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,incomplete,relstart,EN_conn_utt,NP_conn_utt,EN_arg1_utt,EN_arg2_utt,Arg1_RawText,Arg2_RawText,EN_conn_utt_span,EN_arg1_utt_span,EN_arg2_utt_span,Arg1_SpanList,Arg2_SpanList,NP_conn_utt_span,Relation,Conn1,Conn2,ConnHeadSemClass1,Conn2SemClass1,ConnHeadSemClass2,Conn2SemClass2,Arg1_RawText,Arg2_RawText,Arg1_FirstSpanStart,Arg2_FirstSpanStart,FullRawText
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,in fact,and,Expansion.Level-of-detail.Arg2-as-detail,Expansion.Conjunction,,,,"But ever since I gave birth... immediately after I gave birth, look at me feeling so great.",587..678,ABJ_GWA_14_Mary-Lifestory_MG__15,,,,"Everything's f-... uh, it's like I was never pregnant.",681..735,ABJ_GWA_14_Mary-Lifestory_MG__16,,,,,,,,,,,,,Null,587,,,"But ever since I gave birth... immediately after I gave birth, look at me feeling so great.","Everything's f-... uh, it's like I was never pregnant.","But as I con born now, immediately I born, see as I con well.",Everytin f-... eh con be like sey I no dey pregnant before.,,587..678,681..735,489..550,553..612,,Implicit,in fact,,Expansion.Level-of-detail.Arg2-as-detail,,,,"But since I gave birth... immediately after I gave birth, look at me feeling so great.","Everything's f-... uh, it's like I was never pregnant.",489,553,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 10, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,in other words,so,Expansion.Equivalence,Contingency.Cause.Result,,,,"Everything's f-... uh, it's like I was never pregnant.",681..735,ABJ_GWA_14_Mary-Lifestory_MG__16,,,,Everything's great now.,738..761,ABJ_GWA_14_Mary-Lifestory_MG__17,,,,,,,,,,,,,Null,681,,,"Everything's f-... uh, it's like I was never pregnant.",Everything's great now.,Everytin f-... eh con be like sey I no dey pregnant before.,Everyting con dey a'ah.,,681..735,738..761,553..612,615..638,,Implicit,and,,Expansion.Conjunction,,,,"Everything's f-... uh, it's like I was never pregnant.",Everything's great now.,553,615,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 11, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,because,0,Contingency.Cause.Reason,,,,,Everything's great now.,738..761,ABJ_GWA_14_Mary-Lifestory_MG__17,,,,"All the headache, everything, everything, all the sickness just stopped, okay?",764..842,ABJ_GWA_14_Mary-Lifestory_MG__18,,,,,,,,,,,,,Null,738,,,Everything's great now.,"All the headache, everything, everything, all the sickness just stopped, okay?",Everyting con dey a'ah.,"All di headache, everyting, everyting, every sickness just stop kpai!",,738..761,764..842,615..638,641..710,,Implicit,because,more specifically,Contingency.Cause.Reason,Expansion.Level-of-detail.Arg2-as-detail,,,Everything's great now.,"All the headache, everything, everything, all the sickness just stopped, okay?",615,641,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 12, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,so,0,Contingency.Cause+SpeechAct.Result+SpeechAct,,,,,"All the headache, everything, everything, all the sickness just stopped, okay?",764..842,ABJ_GWA_14_Mary-Lifestory_MG__18,,,,"I said, ""uh, is this how it is?""",845..877,ABJ_GWA_14_Mary-Lifestory_MG__19,,,,,,,,,,,,,Null,764,,,"All the headache, everything, everything, all the sickness just stopped, okay?","I said, ""uh, is this how it is?""","All di headache, everyting, everyting, every sickness just stop kpai!",I say ehn na so e be?,,764..842,845..877,641..710,713..734,,Implicit,so,,Contingency.Cause+SpeechAct.Result+SpeechAct,,,,"All the headache, everything, everything, all the sickness just stopped, okay?","I said, ""oh, is this how it is?""",641,713,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 13, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,EntRel,,,,,,0,0,,,,,,"I said, ""uh, is this how it is?""",845..877,ABJ_GWA_14_Mary-Lifestory_MG__19,,,,"So now that we had the kid, the drama started",880..925,ABJ_GWA_14_Mary-Lifestory_MG__20,,,,,,Full Agreement,,,,880.0,DEFAULT,,Null,845,,,"I said, ""uh, is this how it is?""","So now that we had the kid, the drama started.",I say ehn na so e be?,"So we con born di pikin now, drama con start.",,845..877,880..926,713..734,737..782,,EntRel,,,,,,,"I said, ""oh, is this how it is?""","So now that we gave birth to the child, the drama started.",713,737,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 14, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,because,first,Contingency.Cause.Reason,Expansion.Instantiation.Arg2-as-instance,,,,"So now that we had the kid, the drama started.",880..926,ABJ_GWA_14_Mary-Lifestory_MG__20,,,,"Yes now, okay you had a kid.",929..957,ABJ_GWA_14_Mary-Lifestory_MG__21,,,,,,,,,,,,,Null,880,,,"So now that we had the kid, the drama started.","Yes now, okay you had a kid.","So we con born di pikin now, drama con start.","Yes now, okay you born baby.",,880..926,929..957,737..782,785..813,,Implicit,because,,Contingency.Cause.Reason,,,,"So now that we gave birth to the child, the drama started.","Yes now, okay you gave birth to a child.",737,785,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 15, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,but,0,Comparison.Concession.Arg2-as-denier,,,,,"Yes now, okay you had a kid.",929..957,ABJ_GWA_14_Mary-Lifestory_MG__21,,,,"The baby, as I f-... gave birth to her, for f- two days, I did not see the baby.",960..1040,ABJ_GWA_14_Mary-Lifestory_MG__22,,,,,,,,,,,,,Null,929,,,"Yes now, okay you had a kid.","The baby, as I f-... gave birth to her, for f- two days, I did not see the baby.","Yes now, okay you born baby.","Baby, as I f-... born am sef, for f-... two days, I no see di baby.",,929..957,960..1040,785..813,816..883,,Implicit,but,,Comparison.Concession.Arg2-as-denier,,,,"Yes now, okay you gave birth to a child.","Baby, as I f-... gave birth to her, for f- two days, I didn't see the baby.",785,816,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 16, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,in other words,0,Expansion.Equivalence,,,,,Because it came early.,1043..1065,ABJ_GWA_14_Mary-Lifestory_MG__23,,,,The baby came earlier than expected.,1068..1104,ABJ_GWA_14_Mary-Lifestory_MG__24,,,,,,,,,,,,,Null,1043,,,Because it came early.,The baby came earlier than expected.,Because na pretime.,Di baby no reach time wey I take born am.,,1043..1065,1068..1104,886..905,908..949,,Implicit,in other words,,Expansion.Equivalence,,,,Because it came early.,: The baby came earlier than expected.,886,908,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 17, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,then,0,Temporal.Asynchronous.Precedence,,,,,So they kept her for... almost a week.,1107..1145,ABJ_GWA_14_Mary-Lifestory_MG__25,,,,"When I finally saw the baby, see, the tiny thing looked small.",1148..1210,ABJ_GWA_14_Mary-Lifestory_MG__26,,,,,,,,,,,,,Null,1107,,,So they kept her for... almost a week.,"When I finally saw the baby, see, the tiny thing looked small.",So de keep am for like one week.,"As I con see di baby now, see di tiny ting con small.",,1107..1145,1148..1210,952..984,987..1040,,Implicit,then,,Temporal.Asynchronous.Precedence,,,,So they kept her for... almost a week.,"When I saw the baby, look at the tiny thing.",952,987,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 18, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,specifically,0,Expansion.Level-of-detail.Arg2-as-detail,,,,,Then I started breastfeeding.,1213..1242,ABJ_GWA_14_Mary-Lifestory_MG__27,,,,"Ah, waking up in the night is another job.",1245..1287,ABJ_GWA_14_Mary-Lifestory_MG__28,,,,,,,,,,,,,Null,1213,,,Then I started breastfeeding.,"Ah, waking up in the night is another job.",Con start to breastfeed.,Ah to dey wake up for night anoder work.,,1213..1242,1245..1287,1043..1067,1070..1110,,Implicit,specifically,,Expansion.Level-of-detail.Arg2-as-detail,,,,Toward breastfeeding.,"Ah, waking up in the night is another job.",1043,1070,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 19, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,but,0,Comparison.Concession.Arg2-as-denier,,,,,Another big job indeed.,1290..1313,ABJ_GWA_14_Mary-Lifestory_MG__29,,,,"I was just waking at night, man.",1316..1348,ABJ_GWA_14_Mary-Lifestory_MG__30,,,,,,,,,,,,,Null,1290,,,Another big job indeed.,"I was just waking at night, man.",Anoder big work o.,I just dey wake up for night kai.,,1290..1313,1316..1348,1113..1131,1134..1167,,Implicit,but,,Comparison.Concession.Arg2-as-denier,,,,Another big job indeed.,"I was just waking at night, man.",1113,1134,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 20, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,and,0,Expansion.Conjunction,,,,,"I was just waking at night, man.",1316..1348,ABJ_GWA_14_Mary-Lifestory_MG__30,,,,"Sometimes... my mother was alive at the time, she would help me carry her a little.",1351..1434,ABJ_GWA_14_Mary-Lifestory_MG__31,,,,,,,,,,,,,Null,1316,,,"I was just waking at night, man.","Sometimes... my mother was alive at the time, she would help me carry her a little.",I just dey wake up for night kai.,"Sometimes (my mama dey dat time, ) she go help me carry small.",,1316..1348,1351..1434,1134..1167,1170..1232,,Implicit,and,,Expansion.Conjunction,,,,"I was just waking at night, man.","Sometimes... (my mother was at that time), she would help me carry her a bit.",1134,1170,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 21, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,in other words,0,Expansion.Equivalence,,,,,Because I was only feeding her with breastmilk.,1496..1543,ABJ_GWA_14_Mary-Lifestory_MG__33,,,,I didn't give her any...,1546..1570,ABJ_GWA_14_Mary-Lifestory_MG__34,,,,,,,,,,,,,arg2-incomplete,1496,,,Because I was only feeding her with breastmilk.,I didn't give her any...,Because na only breastmilk I dey give am.,I no give am any...,,1496..1543,1546..1570,1283..1324,1327..1346,,Implicit,in other words,,Expansion.Equivalence,,,,Because I only fed breastmilk.,I didn't give her any...,1283,1327,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 22, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,0,0,Reformulation,,,,,I didn't give her any...,1546..1570,ABJ_GWA_14_Mary-Lifestory_MG__34,,,,I didn't give her any baby formula.,1573..1608,ABJ_GWA_14_Mary-Lifestory_MG__35,,,,,,,,,,,,,arg1-incomplete,1546,,,I didn't give her any...,I didn't give her any baby formula.,I no give am any...,I no give am formula.,,1546..1570,1573..1608,1327..1346,1349..1370,,Implicit,,,reformulation,,,,I didn't give her any...,I didn't give her any baby formula.,1327,1349,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 23, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,EntRel,,,,,,0,0,,,,,,I didn't give her any baby formula,1573..1607,ABJ_GWA_14_Mary-Lifestory_MG__35,,,,"So little by little, by the third month, she was waking up less at night",1611..1683,ABJ_GWA_14_Mary-Lifestory_MG__36,,,,,,Full Agreement,,,,1611.0,DEFAULT,,Null,1573,,,I didn't give her any baby formula.,"So little by little, by the third month, she was waking up less at night.",I no give am formula.,"So small, small, as three months reach, di time wey she take dey wake up for night con reduce.",,1573..1608,1611..1684,1349..1370,1373..1467,,EntRel,,,,,,,I didn't give her any baby formula.,"So little by little, by the third month, she was waking up less at night.",1349,1373,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 24, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,and,0,Expansion.Conjunction,,,,,"So little by little, by the third month, she was waking up less at night.",1611..1684,ABJ_GWA_14_Mary-Lifestory_MG__36,,,,I was still...,1687..1701,ABJ_GWA_14_Mary-Lifestory_MG__37,,,,,,,,,,,,,arg2-incomplete,1611,,,"So little by little, by the third month, she was waking up less at night.",I was still...,"So small, small, as three months reach, di time wey she take dey wake up for night con reduce.",I con still dey...,,1611..1684,1687..1701,1373..1467,1470..1488,,Implicit,and,,Expansion.Conjunction,,,,"So little by little, by the third month, she was waking up less at night.",I was still...,1373,1470,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 25, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,0,0,Reformulation,,,,,I was still...,1687..1701,ABJ_GWA_14_Mary-Lifestory_MG__37,,,,"I was still just giving her food, breastmilk.",1704..1749,ABJ_GWA_14_Mary-Lifestory_MG__38,,,,,,,,,,,,,arg1-incomplete,1687,,,I was still...,"I was still just giving her food, breastmilk.",I con still dey...,"I still dey give am only food, breastmilk.",,1687..1701,1704..1749,1470..1488,1491..1533,,Implicit,,,reformulation,,,,I was still...,"I still gave her food, breastmilk.",1470,1491,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 26, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,in other words,0,Expansion.Equivalence,,,,,"I was still just giving her food, breastmilk.",1704..1749,ABJ_GWA_14_Mary-Lifestory_MG__38,,,,I wasn't giving her any formula.,1752..1784,ABJ_GWA_14_Mary-Lifestory_MG__39,,,,,,,,,,,,,Null,1704,,,"I was still just giving her food, breastmilk.",I wasn't giving her any formula.,"I still dey give am only food, breastmilk.",I no give am formula.,,1704..1749,1752..1784,1491..1533,1536..1557,,Implicit,in other words,,Expansion.Equivalence,,,,"I still gave her food, breastmilk.",I didn't give her any baby formula.,1491,1536,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 27, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,but,0,Comparison.Concession.Arg2-as-denier,,,,,"When she was six months old, ehen.",1787..1821,ABJ_GWA_14_Mary-Lifestory_MG__40,,,,"When we got to the sixth month, she stopped taking breastmilk.",1824..1886,ABJ_GWA_14_Mary-Lifestory_MG__41,,,,,,,,,,,,,Null,1787,,,"When she was six months old, ehen.","When we got to the sixth month, she stopped taking breastmilk.",E con reach six months ehen.,"When we reach six months, na she no even collect breastmilk again.",,1787..1821,1824..1886,1560..1588,1591..1657,,Implicit,then,,Temporal.Asynchronous.Precedence,,,,"It was six months, ehen.","When we got to the sixth month, she stopped taking breastmilk.",1560,1591,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 28, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,so,0,Contingency.Cause.Result,,,,,"When we got to the sixth month, she stopped taking breastmilk.",1824..1886,ABJ_GWA_14_Mary-Lifestory_MG__41,,,,"One day, I tested her by giving her baby food.",1889..1935,ABJ_GWA_14_Mary-Lifestory_MG__42,,,,,,,,,,,,,Null,1824,,,"When we got to the sixth month, she stopped taking breastmilk.","One day, I tested her by giving her baby food.","When we reach six months, na she no even collect breastmilk again.","One day, I con try am give am pap.",,1824..1886,1889..1935,1591..1657,1660..1694,,Implicit,so,,Contingency.Cause.Result,,,,"When we got to the sixth month, she stopped taking breastmilk.","One day, I tested her by giving her baby food.",1591,1660,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 29, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,and,0,Expansion.Conjunction,,,,,"One day, I tested her by giving her baby food.",1889..1935,ABJ_GWA_14_Mary-Lifestory_MG__42,,,,She took it.,1938..1950,ABJ_GWA_14_Mary-Lifestory_MG__43,,,,,,,,,,,,,Null,1889,,,"One day, I tested her by giving her baby food.",She took it.,"One day, I con try am give am pap.",E collect am.,,1889..1935,1938..1950,1660..1694,1697..1710,,Implicit,and,,Expansion.Conjunction,,,,"One day, I tested her by giving her baby food.",She took it.,1660,1697,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 30, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,Implicit,,,,,,so,0,Narrative-response,,,,,She took it.,1938..1950,ABJ_GWA_14_Mary-Lifestory_MG__43,,,,I said ah.,1953..1963,ABJ_GWA_14_Mary-Lifestory_MG__44,,,,,,,,,,,,,Null,1938,,,She took it.,I said ah.,E collect am.,I say ah.,,1938..1950,1953..1963,1697..1710,1713..1722,,Implicit,,,narrative-response,,,,She took it.,"I said ""ah.""",1697,1713,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 31, dtype: object"
ABJ_GWA_14_Mary-Lifestory_MG.txt,test,EntRel,,,,,,0,0,,,,,,I said ah.,1953..1963,ABJ_GWA_14_Mary-Lifestory_MG__44,,,,Okay!,1966..1971,ABJ_GWA_14_Mary-Lifestory_MG__45,,,,,,,,,,,,,Null,1953,,,I said ah.,Okay!,I say ah.,Okay!,,1953..1963,1966..1971,1713..1722,1725..1730,,EntRel,,,,,,,"I said ""ah.""",Okay!,1713,1725,"Arg1_RawText    NaN
Arg1_RawText    NaN
Arg2_RawText    NaN
Arg2_RawText    NaN
Name: 32, dtype: object"
